ID,survey_finish_time,sex,sex2,age,year,location,location2,location3,KLikert,KBinary,KBinaryAll,KExpl,KExplSimple,KProfits,Int,IntUmyślnie,IntCelowo,IntŚwiadomie,Intention,BSądził,BPrzekonany,Aware,Reasons,Condition,Scale,Form,edu
1,456,Mężczyzna,NA,25-34 lata,32,średnie miasto (od 20 do 99 tys. mieszkańców),50 – 99 tys. mieszkańców,NA,NA,0,No,"Dyrektor nie zdawał sobie sprawy, że stan środowiska może się pogorszyć.",Q,0,0,-2,1,-3,-1,0,0,1,1,Harm,FC,ST,Wyższe magisterskie
2,121,Mężczyzna,NA,35-44 lata,35,duże miasto (od 100 do 500 tys. mieszkańców),NA,200 – 500 tys. mieszkańców,0,NA,Neither,"Nie było jasne, czy dyrektor był, czy nie był przekonany, że wdrożenie programu pomoże środowisku.",B,1,2,1,2,0,2,2,1,2,1,Help,LIK,PR,Średnie
3,176,Mężczyzna,NA,35-44 lata,40,średnie miasto (od 20 do 99 tys. mieszkańców),20 – 49 tys. mieszkańców,NA,NA,1,Yes,"Dyrektor zdawał sobie sprawę, że stan środowiska może się polepszyć.",Q,2,-2,-2,-2,-2,-3,-2,-1,-2,-1,Help,FC,ST,Wyższe licencjackie lub inżynierskie
4,282,Mężczyzna,NA,45-54 lata,46,wielkie miasto (powyżej 500 tys. mieszkańców),NA,NA,NA,1,Yes,"Dyrektor zdawał sobie sprawę, że wdrożenie programu może pomóc środowisku.",Q,3,-3,-3,-3,-3,-3,-1,0,0,0,Help,FC,PR,Wyższe magisterskie
5,711,Mężczyzna,NA,55 lat lub więcej,61,duże miasto (od 100 do 500 tys. mieszkańców),NA,200 – 500 tys. mieszkańców,0,NA,Neither,"Nie było jasne, czy dyrektor zdawał sobie sprawę, czy nie zdawał sobie sprawy, że wdrożenie programu może pomóc ",Q,2,0,-2,-2,-2,-2,0,0,0,1,Help,LIK,PR,Średnie
6,200,Kobieta,NA,25-34 lata,29,duże miasto (od 100 do 500 tys. mieszkańców),NA,100 – 200 tys. mieszkańców,NA,1,Yes,"Dyrektor miał powody, by sądzić, że stan środowiska się pogorszy.",R,3,3,3,3,3,3,3,2,3,3,Harm,FC,ST,Wyższe magisterskie
7,285,Mężczyzna,NA,45-54 lata,49,średnie miasto (od 20 do 99 tys. mieszkańców),50 – 99 tys. mieszkańców,NA,NA,0,No,"Dyrektor nie miał powodów, by sądzić, że wdrożenie programu pomoże środowisku.",R,1,1,-1,-2,1,-1,-1,-1,-1,1,Help,FC,PR,Zawodowe lub policealne
8,1475,Mężczyzna,NA,55 lat lub więcej,61,wieś,NA,NA,3,NA,Yes,"Dyrektor zdawał sobie sprawę, że wdrożenie programu może zaszkodzić środowisku.",Q,3,3,-3,3,3,3,3,3,3,3,Harm,LIK,PR,Średnie
9,200,Mężczyzna,NA,35-44 lata,44,wieś,NA,NA,3,NA,Yes,"Dyrektor był przekonany, że stan środowiska się pogorszy.",B,3,3,3,3,3,3,3,3,3,3,Harm,LIK,ST,Zawodowe lub policealne
10,167,Kobieta,NA,25-34 lata,31,średnie miasto (od 20 do 99 tys. mieszkańców),50 – 99 tys. mieszkańców,NA,1,NA,Yes,"Dyrektor był przekonany, że zaszkodzi środowisku.",B,1,1,-1,-1,-1,1,1,-1,-1,1,Harm,LIK,AG,Wyższe licencjackie lub inżynierskie
11,174,Mężczyzna,NA,45-54 lata,45,wieś,NA,NA,3,NA,Yes,"Dyrektor był przekonany, że wdrożenie programu zaszkodzi środowisku.",B,3,2,2,3,2,1,3,3,3,2,Harm,LIK,PR,Wyższe licencjackie lub inżynierskie
12,224,Kobieta,NA,35-44 lata,39,wielkie miasto (powyżej 500 tys. mieszkańców),NA,NA,NA,1,Yes,"Dyrektor miał powody, by sądzić, że wdrożenie programu pomoże środowisku.",R,3,-3,-3,-3,-3,-3,0,0,3,3,Help,FC,PR,Wyższe magisterskie
13,195,Mężczyzna,NA,35-44 lata,38,średnie miasto (od 20 do 99 tys. mieszkańców),20 – 49 tys. mieszkańców,NA,NA,0,No,"Dyrektor nie zdawał sobie sprawy, że może pomóc środowisku.",Q,3,0,-3,-2,-3,-3,-3,-3,-3,-3,Help,FC,AG,Średnie
14,511,Mężczyzna,NA,25-34 lata,29,duże miasto (od 100 do 500 tys. mieszkańców),NA,100 – 200 tys. mieszkańców,-1,NA,No,"Dyrektor nie był przekonany, że wdrożenie programu pomoże środowisku.",B,3,0,-1,-2,0,-2,-1,-1,-1,-1,Help,LIK,PR,Wyższe magisterskie
15,228,Mężczyzna,NA,55 lat lub więcej,61,średnie miasto (od 20 do 99 tys. mieszkańców),20 – 49 tys. mieszkańców,NA,NA,1,Yes,"Dyrektor zdawał sobie sprawę, że może zaszkodzić środowisku.",Q,2,2,2,2,2,1,1,2,2,2,Harm,FC,AG,Średnie
